Turn	Number of animals	Number of plants	Number of empty fields	Most popular genom	Average animal energy	Average life span	Average children count
1	45	23	1957	[0, 1, 5, 7, 2, 6, 5, 5, 2]	9	NaN	0
2	47	24	1958	[0, 1, 5, 7, 2, 6, 5, 5, 2]	7.74	NaN	0.09
3	47	26	1952	[0, 1, 5, 7, 2, 6, 5, 5, 2]	6.74	NaN	0.09
4	48	28	1951	[0, 1, 5, 7, 2, 6, 5, 5, 2]	5.62	NaN	0.12
5	48	29	1948	[0, 1, 5, 7, 2, 6, 5, 5, 2]	4.71	NaN	0.12
6	42	31	1952	[0, 1, 5, 7, 2, 6, 5, 5, 2]	4.38	5	0
7	42	32	1951	[0, 1, 5, 7, 2, 6, 5, 5, 2]	3.48	5	0
8	42	34	1949	[0, 1, 5, 7, 2, 6, 5, 5, 2]	2.48	5	0
9	42	35	1948	[0, 1, 5, 7, 2, 6, 5, 5, 2]	1.57	5	0
10	42	36	1948	[0, 1, 5, 7, 2, 6, 5, 5, 2]	0.67	5	0
11	5	38	1982	[5, 0, 1, 7, 0, 0, 7, 2, 1]	4.6	9.3	0
12	5	40	1980	[5, 0, 1, 7, 0, 0, 7, 2, 1]	3.6	9.3	0
13	4	42	1979	[5, 0, 1, 7, 0, 0, 7, 2, 1]	3.5	9.32	0
